quadrant,item,summary,related_agent_types,tradeoffs_or_questions,evidence_to_collect
Enhances,Acceleration of development pace and productivity,"Shortens bounded development activities such as boilerplate generation, test scaffolding, refactoring suggestions, documentation updates, and routine debugging.","Passive Questioning; Reactive Questioning; Proactive Team-member","Speed may be offset by downstream review, maintenance, integration, or security costs.","Task completion time; defect rate; review effort; maintainability; cognitive load"
Enhances,Coordination glue in socio-technical ecosystems,"Connects repositories, issue trackers, CI/CD pipelines, documentation, communication channels, and dashboards.","Reactive Team-member; Reactive Manager; Proactive Manager","Coordination may become opaque if humans cannot understand escalations or reprioritization.","Coordination breakdowns; handoff delays; duplicated work; shared mental model quality"
Enhances,Accessibility of development and SE education,"Lowers entry barriers through conversational interaction, examples, and step-by-step scaffolding.","Passive Questioning; Proactive Questioning","Accessible support may become superficial learning if outputs are accepted without understanding.","Learning gains; transfer tasks; anxiety; motivation; retention"
Enhances,Mediation in cross-disciplinary collaboration,"Translates between domain language, requirements, code, tests, and architecture decisions.","Reactive Team-member; Proactive Team-member","Mediation can oversimplify disagreements or hide unresolved ambiguity.","Stakeholder alignment; ambiguity resolution; communication quality"
Enhances,Emotional buffering and frustration prevention,"Offers immediate assistance, explains errors, and helps developers recover from blockers.","Questioning agents; Team-member agents","Simulated support should not replace human care, mentoring, or belonging.","Perceived support; frustration; burnout indicators; help-seeking behavior"
Enhances,Continuous learning and intuition triggering,"Provides contextual explanations, alternatives, examples, and clarification questions during work.","Reactive Questioning; Proactive Questioning","Developers may depend on agent explanations rather than develop diagnostic skill.","Explanation quality; self-efficacy; debugging skill; justification ability"
Enhances,Cognitive offloading and creative refocusing,"Offloads repetitive or administrative work so developers can focus on architecture and design trade-offs.","All applicable categories","Too much offloading can weaken tacit knowledge and situational awareness.","Developer time allocation; perceived creativity; design quality; review depth"
Obsolesces,Empathy as a human-centered practice,"Empathy may be treated as an interface feature rather than a human team competence.","Team-member; Manager","Relational work sustaining collaboration may be weakened.","Team climate; perceived empathy; conflict resolution quality"
Obsolesces,Traditional SE educational practices,"Manual trial, error, debugging, and incremental design may become less central.","Questioning; Team-member","Foundational learning practices may be bypassed.","Curriculum outcomes; foundational skill retention; learning-by-doing measures"
Obsolesces,Collaborative debugging culture,"Agent diagnosis and repair may reduce collaborative debugging and peer learning.","Reactive Questioning; Proactive Team-member","Debugging may become less educational if explanations are weak.","Peer debugging frequency; shared understanding; repair quality"
Obsolesces,Information and knowledge sharing,"Centralized agent retrieval may reduce informal knowledge exchange among humans.","Reactive Team-member; Proactive Team-member","Teams may lose opportunities to build shared context through conversation.","Knowledge sharing events; network analysis; onboarding effectiveness"
Obsolesces,Human-peer mentoring and ad hoc communication,"Novices may ask agents rather than colleagues, reducing mentoring opportunities.","Questioning; Team-member","Agents cannot fully reproduce context, judgment, and social support.","Mentoring frequency; novice confidence; social integration"
Obsolesces,Learning-by-doing and error-based reflection,"Agentic support can remove productive friction that helps developers learn.","Passive Questioning; Proactive Questioning","Some friction is valuable for forming mental models and understanding constraints.","Error reflection logs; transfer performance; diagnostic reasoning"
Retrieves,Pair programming,"Human-AI pair programming retrieves pair work, but with a non-human partner.","Questioning; Team-member","Turn-taking, feedback, trust, and accountability change.","Collaboration quality; code review outcomes; perceived partner role"
Retrieves,Dialogic programming,"Development becomes conversational: requirements, explanations, design, and code transformations are negotiated through dialogue.","Questioning; Team-member","Dialogue can become prompt compliance if disagreement is not supported.","Dialogue quality; clarification rate; negotiated decisions"
Retrieves,Coding-flow customization and versatility,"Agents adapt suggestions to conventions, preferences, and task context.","Reactive Team-member; Proactive Team-member","Personalization may conflict with team standards or introduce inconsistency.","Conformance to conventions; developer satisfaction; variability of outputs"
Retrieves,High-level system design and architecture,"Routine offloading may return human attention to system-level reasoning and quality attributes.","Proactive Team-member; Proactive Manager","Architectural authority and responsibility must remain clear.","Architecture decision quality; traceability; review depth"
Retrieves,Agent orchestration and coordination patterns,"Delegation, monitoring, escalation, and role allocation become explicit design problems.","Reactive Manager; Proactive Manager","Coordination patterns may reproduce undesirable management dynamics.","Escalation quality; role clarity; intervention frequency"
Retrieves,Requirements engineering toward prompts,"Prompting and requirements formulation converge around intent, constraints, examples, and acceptance criteria.","Questioning; Team-member","Requirements may become underspecified if prompts are treated as sufficient.","Requirement quality; ambiguity count; acceptance criteria coverage"
Retrieves,Practical verification and validation,"Agents may retrieve hands-on validation through generated tests, simulations, and examples.","Reactive Questioning; Proactive Team-member","Practical checks can be mistaken for formal assurance.","Test adequacy; defect detection; validation traceability"
Reverses,Diffuse thinking models,"When agents shape reasoning too strongly, teams may converge on agent-framed interpretations.","Proactive Questioning; Proactive Team-member","Diversity of thought and critical challenge may decline.","Alternative generation; dissent frequency; decision diversity"
Reverses,Loss of care structures,"Agent mediation may weaken mentoring, informal support, and human care.","Team-member; Manager","Care work can become invisible or undervalued.","Mentoring networks; psychological safety; perceived support"
Reverses,Social and productivity pressure,"Agentic acceleration may intensify expectations for speed and availability.","Reactive Manager; Proactive Manager","Productivity gains may become workload pressure.","Workload; pace expectations; burnout indicators"
Reverses,Passive dependence and deskilling,"Repeated delegation may reduce independent reasoning and diagnostic skill.","All applicable categories","Support becomes harmful when it replaces learning and judgment.","Skill retention; unaided task performance; reliance measures"
Reverses,Merit and workload distribution,"Managerial agents may affect task allocation, credit, and evaluation.","Reactive Manager; Proactive Manager","Opacity can create fairness and attribution problems.","Workload distribution; credit attribution; fairness perceptions"
Reverses,Shared mental model building,"Automation may hide context needed to build common understanding.","Reactive Team-member; Proactive Team-member","Teams may coordinate efficiently without understanding why.","Shared mental model measures; situation awareness; coordination errors"
Reverses,Accountability structures,"Higher autonomy can obscure causal chains and responsibility.","Proactive Team-member; Proactive Manager","Traceability and contestability become mandatory governance requirements.","Audit trails; responsibility assignment; contestation outcomes"
